text,label
I love this product,positive
This is amazing,positive
Very happy with the service,positive
Absolutely fantastic,positive
I really enjoyed this,positive
Best experience ever,positive
So good,positive
I like this a lot,positive

I hate this,negative
This is terrible,negative
Worst experience ever,negative
Really disappointing,negative
I am very unhappy,negative
This is bad,negative
Not good at all,negative
I regret buying this,negative

It's okay,neutral
Not bad,neutral
Could be better,neutral
Average experience,neutral
Nothing special,neutral
It is fine,neutral
Just okay,neutral
Neither good nor bad,neutral
